name,total games,spawns,victories,defeats,deaths,ground_kills,air_kills,naval_kills,rp,sl,games,win rate,spawn / g,lvling,farm,ground / game,air / game,naval / game,ground / spawn,air / spawn,naval / spawn,ground / death,air / death,naval / death,mode,name_x,id,Class,Class,Move Type,Move Type,rank,BR / a,BR / a,BR / r,BR / r,BR / s,BR / s,BRTank / r,BRTank / r,BRTank / s,BRTank / s,country,Prem,Prem,Event,Event,Gift,Gift,Normal,Normal,Own
Pz.II C,42388.0,42260.0,20036.0,22352.0,34924.0,25414.0,4661.0,,5173134.0,17075800.0,126931.0,0.47268094743795414,0.9969802774370105,122.41206814955041,404.0653099858022,0.599556478248561,0.10996036614136076,,0.6013724562233791,0.11029342167534312,,0.7276944221738633,0.13346123009964495,,arcade,germ_pzkpfw_II_ausf_C,germ_pzkpfw_II_ausf_C,exp_tank,,tank,,1.0,1.3,,1.3,,1.3,,,,,,germany,False,,False,,False,,True,,True
He 51 C-1,119140.0,123811.0,59340.0,59800.0,105429.0,43715.0,101637.0,524.0,7024343.0,17369390.0,189078.0,0.4980694980694981,1.0392059761624979,56.734401628288275,140.28955423993023,0.36692126909518213,0.8530888030888031,0.004398187006882659,0.3530784825257853,0.8209044430624096,0.0042322572307791715,0.414639235883865,0.9640326665338759,0.004970169497955971,arcade,he51c1,he51c1,exp_fighter,,air,,1.0,1.0,,1.0,,1.0,,,,,,germany,False,,False,,False,,True,,True
He 51 B-1,208790.0,216539.0,105751.0,103039.0,187750.0,50789.0,186164.0,1407.0,11922528.0,30174235.0,300513.0,0.5064945639158963,1.0371138464485847,55.0594950563178,139.34780801610796,0.24325398725992625,0.8916327410316586,0.006738828487954404,0.23454897270237693,0.8597250379839197,0.006497674783757198,0.2705139813581891,0.9915525965379494,0.007494007989347537,arcade,he51b1,he51b1,exp_fighter,,air,,1.0,1.0,,1.0,,1.0,,,,,,germany,False,,False,,False,,True,,True
Pz.II C (DAK),53507.0,54441.0,25511.0,27996.0,44043.0,37251.0,5279.0,,8966564.0,42926844.0,157995.0,0.47677873923038105,1.0174556600071019,164.7024117852354,788.5021215627927,0.6961892836451306,0.09865998841273105,,0.6842453298065796,0.09696735915945702,,0.8457870717253593,0.11986013668460369,,arcade,germ_pzkpfw_II_ausf_C_DAK,germ_pzkpfw_II_ausf_C_DAK,exp_tank,,tank,,1.0,1.3,,1.3,,1.3,,,,,,germany,True,,False,,False,,False,,False
Pz.IV C,316896.0,322475.0,154112.0,162784.0,260356.0,390622.0,20231.0,,50638601.0,104663491.0,510442.0,0.4863172775926487,1.017605144905584,157.0310907822312,324.5631165206605,1.2326504594567302,0.06384113399979804,,1.2113249089076672,0.06273664625164742,,1.5003379987401866,0.07770514218992457,,arcade,germ_pzkpfw_IV_ausf_C,germ_pzkpfw_IV_ausf_C,exp_tank,,tank,,1.0,1.3,,1.3,,1.3,,,,,,germany,False,,False,,False,,True,,True
Pz.IV E,130099.0,132050.0,62118.0,67981.0,106419.0,133088.0,7144.0,,21233347.0,79562672.0,206654.0,0.4774671596245936,1.0149962720697314,160.79778114350626,602.5192881484286,1.0229748114897117,0.05491202853211785,,1.007860658841348,0.05410071942446043,,1.2506037455717494,0.0671308694875915,,arcade,germ_pzkpfw_IV_ausf_E,germ_pzkpfw_IV_ausf_E,exp_tank,,tank,,1.0,2.3,,2.0,,2.0,,,,,,germany,False,,False,,False,,True,,True
A7He1,1663.0,2264.0,910.0,753.0,1838.0,535.0,2613.0,20.0,419251.0,3204421.0,4185.0,0.5472038484666266,1.3613950691521346,185.1815371024735,1415.380300353357,0.3217077570655442,1.571256764882742,0.012026458208057728,0.23630742049469966,1.1541519434628975,0.0088339222614841,0.2910772578890098,1.4216539717083787,0.01088139281828074,arcade,a7he1,a7he1,exp_fighter,,air,,2.0,2.3,,2.0,,2.3,,,,,,japan,True,,False,,False,,False,,True
Flakpanzer I,105578.0,107550.0,49329.0,56249.0,76785.0,87004.0,36538.0,,14832034.0,34716310.0,323023.0,0.4672280209892212,1.018678133702097,137.9082659228266,322.79228265922825,0.8240731970675709,0.34607588702191744,,0.8089632728963273,0.3397303579730358,,1.133085889171062,0.4758481474246272,,arcade,germ_flakpanzer_I_ausf_A,germ_flakpanzer_I_ausf_A,exp_SPAA,,tank,,1.0,1.3,,1.3,,1.3,,,,,,germany,False,,False,,False,,True,,True
He 112 V-5,219773.0,225512.0,107117.0,112656.0,202008.0,23070.0,183767.0,320.0,13226126.0,38079665.0,289908.0,0.48739836103616,1.026113307822162,58.649322430735396,168.85870818404342,0.1049719483285026,0.8361673180963994,0.001456047831171254,0.1023005427649083,0.8148878995352797,0.0014189932243073538,0.11420339788523227,0.909701595976397,0.0015840956793790346,arcade,he_112v_5,he_112v_5,exp_fighter,,air,,1.0,1.3,,1.3,,1.7,,,,,,germany,False,,False,,False,,True,,True
Yak-1B,78018.0,81340.0,40818.0,37200.0,67513.0,21021.0,119322.0,390.0,9302387.0,60926170.0,113668.0,0.5231869568561102,1.0425799174549464,114.36423653798869,749.0308581263831,0.2694378220410674,1.5294162885487965,0.00499884642005691,0.258433734939759,1.4669535283993116,0.004794688959921318,0.3113622561580733,1.7673929465436287,0.0057766652348436595,arcade,yak-1b,yak-1b,exp_fighter,,air,,2.0,3.3,,3.0,,3.3,,,,,,ussr,False,,False,,False,,True,,True
